Kategori,Rekening,Jumlah,Tanggal,Catatan,Tipe
Makanan,DOMPET,"12,000",2025-03-11 17:47,,-
Tambah Pinjaman,BANK BNI,"510,000",2025-03-11 14:16,Beli Ban Buat Mudik,-
Ayang,BANK BNI,"432,955",2025-03-09 23:13,Set Ibadah,-
Tagih Hutang,BANK BRI,"100,000",2025-03-09 22:37,,+
Jajan,MANDIRI,"45,000",2025-03-09 15:48,CW,-
Makanan,DOMPET,"40,000",2025-03-09 15:48,Ayam 1KG,-
Belanja,MANDIRI,"138,500",2025-03-08 14:53,Mingguan,-
Balance,BANK BNI,"17,782",2025-03-08 14:52,,-
Makanan,GOPAY,"29,919",2025-03-08 14:52,Buka Puasa,-
Makanan,DOMPET,"56,000",2025-03-08 14:51,Buka dan sahur,-
Adm Bank,BANK BRI,"10,750",2025-03-08 14:50,Admin,-
Makanan,BANK BNI,"30,000",2025-03-06 17:49,,-
Gaji Maxximum,MANDIRI,"6,500,000",2025-03-06 04:07,,+
Bensin,DOMPET,"50,000",2025-03-05 16:14,,-
Tambah Pinjaman,BCA Blu,"100,000",2025-03-03 17:18,,-
Spay Later,BANK BNI,"654,680",2025-03-02 13:44,,-
Kirim Saldo,BCA Blu,"20,000",2025-03-01 18:29,Ke DOMPET,-
Terima Saldo,DOMPET,"20,000",2025-03-01 18:29,Dari BCA Blu,+
Transfer Amplop,BCA Blu,"50,000",2025-03-01 11:32,Infak Dea,-
Kirim Saldo,BCA Blu,"30,000",2025-02-28 21:31,Ke BANK BRI,-
Terima Saldo,BANK BRI,"30,000",2025-02-28 21:31,Dari BCA Blu,+
Kirim Saldo,BCA Blu,"660,000",2025-02-28 18:08,Ke BANK BNI,-
Terima Saldo,BANK BNI,"660,000",2025-02-28 18:08,Dari BCA Blu,+
Gaji Cempor,BANK BNI,"1,607,000",2025-02-28 18:08,Pemantapan PB,+
Kirim Saldo,MANDIRI,"300,000",2025-02-28 13:09,Ke DOMPET,-
Terima Saldo,DOMPET,"300,000",2025-02-28 13:09,Dari MANDIRI,+
Belanja,MANDIRI,"68,300",2025-02-28 13:08,Puasa,-
Balance,SHOPEE PAY,"14,526",2025-02-28 10:51,,-
Kirim Saldo,SHOPEE PAY,"4,500",2025-02-28 10:50,Ke DOMPET,-
Terima Saldo,DOMPET,"4,500",2025-02-28 10:50,Dari SHOPEE PAY,+
Kirim Saldo,SHOPEE PAY,"15,974",2025-02-28 10:49,Ke MANDIRI,-
Terima Saldo,MANDIRI,"15,974",2025-02-28 10:49,Dari SHOPEE PAY,+
Kirim Saldo,BANK BNI,"42,500",2025-02-28 10:47,Ke DOMPET,-
Terima Saldo,DOMPET,"42,500",2025-02-28 10:47,Dari BANK BNI,+
Kirim Saldo,SeaBank,"11,026",2025-02-28 10:47,Ke MANDIRI,-
Terima Saldo,MANDIRI,"11,026",2025-02-28 10:47,Dari SeaBank,+
Kirim Saldo,MANDIRI,"5,000,000",2025-02-28 10:42,Ke BCA Blu,-
Terima Saldo,BCA Blu,"5,000,000",2025-02-28 10:42,Dari MANDIRI,+
Adm Bank,MANDIRI,"100,000",2025-02-28 10:41,Pembuatan Rekening BCA Blu,-
Kost,DOMPET,"750,000",2025-02-28 10:35,Kost Bulan Februari 2024,-
Bensin,DOMPET,"50,000",2025-02-28 10:35,,-
Tambah Pinjaman,DOMPET,"50,000",2025-02-26 00:38,,-
Kuota Internet,BANK BRI,"101,000",2025-02-23 16:49,Kuota 40gb,-
Jajan,BANK BRI,"50,000",2025-02-22 22:03,Sukabumi,-
Makanan,DOMPET,"157,475",2025-02-21 22:31,,-
Laundry,DOMPET,"30,000",2025-02-21 22:31,,-
Adm Bank,BANK BRI,"8,000",2025-02-21 22:29,Februari 2025,-
Jajan,SHOPEE PAY,"15,190",2025-02-21 22:29,Terabox,-
